LAP_ID,FINISHING_TIME_AT_600,TRACK_VALID,BRAKE_AT_295,THROTTLE_AT_295,STEERING_AT_295,LEFT_DISTANCE_AT_295,RIGHT_DISTANCE_AT_295,BRAKE_AT_386,THROTTLE_AT_386,STEERING_AT_386,LEFT_DISTANCE_AT_386,RIGHT_DISTANCE_AT_386,BRAKE_AT_435,THROTTLE_AT_435,STEERING_AT_435,LEFT_DISTANCE_AT_435,RIGHT_DISTANCE_AT_435,BRAKE_AT_494,THROTTLE_AT_494,STEERING_AT_494,LEFT_DISTANCE_AT_494,RIGHT_DISTANCE_AT_494,BRAKE_AT_575,THROTTLE_AT_575,STEERING_AT_575,LEFT_DISTANCE_AT_575,RIGHT_DISTANCE_AT_575
1.568762119065983e+19_2,10557.430781904884,invalid,0.21035723078014884,0.0,0.016786894390855803,2.859702151374043,12.967330234242803,0.11428672670843491,0.09832238267124135,-0.07917751425215624,30.94996679103953,16.603527770337713,0.044250114544560674,0.1544229054530811,-0.13498498738135817,5.5124194919142235,7.270952493330544,0.0,0.23680303892664545,-0.16670022999110679,3.713370964724694,16.352478764118953,0.0,0.7316523600300332,-0.12932743503565866,4.2505012243915585,6.244091420183813
1.568762119065983e+19_4,9327.906909247933,valid,0.5798056337642813,0.15360869892231652,0.1470209352638564,5.047538075996413,10.780912146949039,0.0025765077121278164,0.29076675854980594,0.23090167706016926,16.74358345281576,1.7545905941746471,0.0,0.4734230727433999,-0.11138726157704046,0.5338433805924373,12.6454645008741,0.0,0.7451932854825937,-0.056475167289035545,5.983433741367807,18.625392354194975,0.0,0.8893294635381891,-0.03334537158906591,5.4607717595507665,15.922477914044604
1.5796937250996462e+19_1,9141.634526312553,valid,0.0,0.7302680303701717,0.3467496230008386,18.1215890291054,2.302562469231468,0.0,0.6088612985046991,0.5045219642910441,13.902995055157668,0.687181480361893,0.0,0.6794617177462339,0.3960162971195072,13.393433352869483,26.65345033883155,0.0,0.8307390938736474,0.16902307267768235,21.561876345684475,34.15598815871804,0.0,1.0,-0.08453392133741176,7.778384190631952,2.7951275462524703
1.5862585865566654e+19_1,14954.730833653386,valid,0.40292772006212374,0.0,0.005108663506523508,4.567229503399107,11.26032679000041,0.169973193031282,0.0,0.3476413974555635,10.742435776995793,6.1094849822532025,0.0,0.41045572333514135,-0.1420784330931518,1.6122255395245584,11.565427608554538,0.0,0.39313343167305,-0.10495358731044468,2.554710683009735,10.086623126201852,0.0,0.4163576662540436,-0.09816740010555357,6.002824743191519,4.571204894219793
1.5862585865566654e+19_2,11051.06678337761,valid,1.0,0.0,0.038947831961751625,3.6480030415512523,12.179453433797102,0.25144710428814865,-0.0017414551289338513,0.3845045774731354,12.426241470440218,4.395318103126144,0.0,0.4205691516399383,-0.2910196824182443,3.4695706033349367,9.71138267994815,0.0,0.5353172315985424,-0.10911560277281745,3.457639074847472,9.183495166933511,0.0,0.6127457407990823,-0.07233656079067197,6.2661222506218905,4.3077935905371705
1.5885463355954848e+19_1,9832.565780632704,invalid,0.690314620381361,0.0,0.01650362965602617,1.3671254217604327,14.460092912491715,0.7873879073473335,0.0,0.41504405995542476,12.26329975720555,4.566034435251583,0.0,0.6941176652908325,0.022685897835793487,1.275961312605715,14.404581513758314,0.0,0.5942030567611585,-0.18469916564657968,2.423662990977692,10.217519560601621,0.0,0.168627455830574,-0.07726342540152903,8.476506847066055,2.0970096592821226
1.5885463355954848e+19_2,9019.697054880226,valid,0.6165354429639878,0.0,0.03316116419822186,1.560457521691325,14.266775844289997,-0.07881386367438399,0.2565142976883197,0.2365984958186788,16.58930545782048,0.5311959386336782,0.0,0.6909360210689405,-0.05238099117203211,1.44079698059174,11.739720837196982,0.0,0.6970223471867019,-0.12823609659872492,2.1044870629208874,10.535662133420338,0.0,0.7686274647712708,-0.07710561089580249,7.360462098981546,3.213252260705525
1.5988171178494409e+19_1,23839.901964878056,invalid,0.1647058874368667,0.23095469247135134,0.01606574456304219,3.933405883669285,11.8940860265922,0.1137254908680915,0.3184081946674168,0.49569744285696793,16.83712357366523,0.03041459156873283,0.0,0.5540086101886057,-0.11847616116873802,1.3960491845398173,11.784695016669897,0.0,0.5735352539529499,-0.47520028836158285,2.4550149775665653,10.186045981761767,0.2617090170816947,0.17172909808229603,-1.0,10.659065802305559,0.08651323152581254
1.6135101586189576e+19_1,13771.292181553377,valid,0.0,0.0,-0.06208879169161133,3.663245792322769,12.164207591258371,0.0,0.419071844167556,0.4253845846122097,11.970937611879801,4.91523723709743,0.0,0.0,-0.35741600969727694,2.0215776701113466,11.159050790276972,0.0,0.2352941185235977,-0.1471957518888665,1.2984480224042207,11.343002498720427,0.0,0.29181453106862926,-0.013651324177674791,5.040436304990901,5.533868437350636
1.6135101586189576e+19_2,9848.750835257306,valid,0.0,0.0,-0.02384251060792185,3.1361113165924386,12.691292836017993,0.0,0.28179301464338624,0.354379902963986,14.745734227946114,2.0672773117685046,0.0,0.5960784554481506,-0.15967747584893938,3.0185130959915796,10.160505574308612,0.0,0.9529411792755127,-0.115625262260437,1.281757524250317,11.35969720881793,0.0,0.9803921580314636,-0.09120587074665748,5.807722755418997,4.766397430597497
1.6146606409291741e+19_1,9219.0165450845,valid,0.8008608319609544,0.0,0.009232185653124579,1.4698422552304173,14.35737823230126,0.0,0.274562600829274,0.42819623097814086,14.08214277583759,2.744212056044399,0.0,0.7144025939622507,-0.056538472566364045,1.195098838090978,11.981650521170382,0.0,0.729411780834198,-0.14451973064638368,2.306180808179516,10.333986883426263,0.0,0.7372549176216125,-0.038008658388132006,6.921459514347245,3.652552481600339
1.616183467524951e+18_1,10235.05364351065,valid,0.30101883328194023,0.2941548190573709,0.08854518060088315,2.3734959691170134,13.45499711433422,0.34933102482294415,0.40450453731192726,0.1352077372600478,18.93991283099356,4.339031377079728,0.2585954641193657,0.4703237754040413,0.14097907357310208,14.34194332623107,27.428651328389343,0.14934244204771002,0.5495755110659746,0.14792823362351437,29.327770109936402,41.970064583349505,-0.0006489950337155672,0.65837874138151,0.15746860589611425,2.1936970651896996,8.163552818336099
